route_name,start_stop_name,start_ds100,end_stop_name,end_ds100,composition_id,n_coaches,weight_t,length_m,v_max_kmh,energy_kwh,distance_km,travel_time_min
304 = 305,München Ost,MOP,Hamburg Hbf,AH,REF-COUCH-10,10,532.2,264.0,200,4499,817.2,497
304 = 305,München Ost,MOP,Hamburg Hbf,AH,REF-BUD-12,12,636.0,316.8,200,5060,817.2,497
304 = 305,München Ost,MOP,Hamburg Hbf,AH,REF-PREM-12,12,631.6,316.8,200,5040,817.2,497
304 = 305,München Ost,MOP,Hamburg Hbf,AH,NEW-BAL-7,7,313.8,185.7,230,3469,817.2,491
304 = 305,München Ost,MOP,Hamburg Hbf,AH,NEW-BAL-14,14,627.6,371.4,230,5257,817.2,498
320/324 = 321/325,Fulda,FFU,Hannover Hbf,HH,REF-BUD-6,6,323.3,158.4,200,875,241.5,147
320/324 = 321/325,Fulda,FFU,Hannover Hbf,HH,REF-COUCH-6,6,313.0,158.4,200,866,241.5,147
320/324 = 321/325,Fulda,FFU,Hannover Hbf,HH,REF-BAL-9,9,501.4,237.6,200,1148,241.5,148
320/324 = 321/325,Fulda,FFU,Hannover Hbf,HH,REF-COUCH-10,10,532.2,264.0,200,1181,244.8,152
320/324 = 321/325,Fulda,FFU,Hannover Hbf,HH,REF-BUD-12,12,636.0,316.8,200,1322,244.9,153
320/324 = 321/325,Fulda,FFU,Hannover Hbf,HH,REF-PREM-12,12,631.6,316.8,200,1317,244.9,153
320/324 = 321/325,Fulda,FFU,Hannover Hbf,HH,NEW-BAL-7,7,313.8,185.7,230,911,241.5,147
320/324 = 321/325,Fulda,FFU,Hannover Hbf,HH,NEW-BAL-14,14,627.6,371.4,230,1377,244.9,153
320/324 = 321/325,Göttingen,HG,Hannover Hbf,HH,REF-BUD-6,6,323.3,158.4,200,334,104.8,63
320/324 = 321/325,Göttingen,HG,Hannover Hbf,HH,REF-COUCH-6,6,313.0,158.4,200,330,104.8,63
320/324 = 321/325,Göttingen,HG,Hannover Hbf,HH,REF-BAL-9,9,501.4,237.6,200,446,104.8,64
320/324 = 321/325,Göttingen,HG,Hannover Hbf,HH,REF-COUCH-10,10,532.2,264.0,200,447,108.1,67
320/324 = 321/325,Göttingen,HG,Hannover Hbf,HH,REF-BUD-12,12,636.0,316.8,200,498,108.2,68
320/324 = 321/325,Göttingen,HG,Hannover Hbf,HH,REF-PREM-12,12,631.6,316.8,200,496,108.2,68
320/324 = 321/325,Göttingen,HG,Hannover Hbf,HH,NEW-BAL-7,7,313.8,185.7,230,351,104.8,63
320/324 = 321/325,Göttingen,HG,Hannover Hbf,HH,NEW-BAL-14,14,627.6,371.4,230,526,108.2,68
320/324 = 321/325,Göttingen,HG,Fulda,FFU,REF-BUD-6,6,323.3,158.4,200,763,136.9,84
320/324 = 321/325,Göttingen,HG,Fulda,FFU,REF-COUCH-6,6,313.0,158.4,200,751,136.9,84
320/324 = 321/325,Göttingen,HG,Fulda,FFU,REF-BAL-9,9,501.4,237.6,200,1008,136.9,85
320/324 = 321/325,Göttingen,HG,Fulda,FFU,REF-COUCH-10,10,532.2,264.0,200,1058,136.9,86
320/324 = 321/325,Göttingen,HG,Fulda,FFU,REF-BUD-12,12,636.0,316.8,200,1199,136.7,86
320/324 = 321/325,Göttingen,HG,Fulda,FFU,REF-PREM-12,12,631.6,316.8,200,1193,136.7,86
320/324 = 321/325,Göttingen,HG,Fulda,FFU,NEW-BAL-7,7,313.8,185.7,230,779,136.9,84
320/324 = 321/325,Göttingen,HG,Fulda,FFU,NEW-BAL-14,14,627.6,371.4,230,1227,136.7,86
320/324 = 321/325,München Ost,MOP,Fulda,FFU,REF-BUD-6,6,323.3,158.4,200,1775,394.1,245
320/324 = 321/325,München Ost,MOP,Fulda,FFU,REF-COUCH-6,6,313.0,158.4,200,1752,394.1,245
320/324 = 321/325,München Ost,MOP,Fulda,FFU,REF-BAL-9,9,501.4,237.6,200,2306,394.1,245
320/324 = 321/325,München Ost,MOP,Fulda,FFU,REF-COUCH-10,10,532.2,264.0,200,2418,394.1,248
320/324 = 321/325,München Ost,MOP,Fulda,FFU,REF-BUD-12,12,636.0,316.8,200,2732,394.1,248
320/324 = 321/325,München Ost,MOP,Fulda,FFU,REF-PREM-12,12,631.6,316.8,200,2720,394.1,248
320/324 = 321/325,München Ost,MOP,Fulda,FFU,NEW-BAL-7,7,313.8,185.7,230,1821,394.1,245
320/324 = 321/325,München Ost,MOP,Fulda,FFU,NEW-BAL-14,14,627.6,371.4,230,2813,394.1,249
332/1372 = 333/1373,Köln Hbf,KK,Düsseldorf Hbf,KD,REF-BUD-6,6,323.3,158.4,200,186,39.1,24
332/1372 = 333/1373,Köln Hbf,KK,Düsseldorf Hbf,KD,REF-COUCH-6,6,313.0,158.4,200,184,39.1,24
332/1372 = 333/1373,Köln Hbf,KK,Düsseldorf Hbf,KD,REF-BAL-9,9,501.4,237.6,200,242,39.1,24
332/1372 = 333/1373,Köln Hbf,KK,Düsseldorf Hbf,KD,REF-COUCH-10,10,532.2,264.0,200,254,39.1,24
332/1372 = 333/1373,Köln Hbf,KK,Düsseldorf Hbf,KD,REF-BUD-12,12,636.0,316.8,200,288,39.1,25
332/1372 = 333/1373,Köln Hbf,KK,Düsseldorf Hbf,KD,REF-PREM-12,12,631.6,316.8,200,287,39.1,25
