stop_id,stop_name,station_printed,country_code,charge_excl_vat_eur,vat_rate_per,charge_incl_vat_eur,basis,price_basis_year,tariff_class,source_ref,note
osm:n268894281,Osnabrück Hauptbahnhof,Osnabrück Hbf,DE,65.79,19.0,78.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 23.54 EUR not used: regional traffic
osm:n2675283037,Paderborn Hauptbahnhof,Paderborn Hbf,DE,39.98,19.0,47.58,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 13.94 EUR not used: regional traffic
osm:n14334692,Passau Hbf,Passau Hbf,DE,13.92,19.0,16.56,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 4.90 EUR not used: regional traffic
osm:n25972727,Pforzheim Hauptbahnhof,Pforzheim Hbf,DE,45.30,19.0,53.91,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 15.82 EUR not used: regional traffic
osm:n1755712810,Plauen (Vogtl) ob Bf,Plauen (Vogtl) ob Bf,DE,44.94,19.0,53.48,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 15.62 EUR not used: regional traffic
osm:n2703868858,Regensburg Hauptbahnhof,Regensburg Hbf,DE,40.58,19.0,48.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 14.13 EUR not used: regional traffic
osm:n4565521156,Remscheid-Lennep,Remscheid-Lennep,DE,6.59,19.0,7.84,per_call,2026,Preisklasse 5,DE-DB-SPL-2026,SPFV share; SPNV share 2.41 EUR not used: regional traffic
osm:n25233549,Reutlingen Hbf,Reutlingen Hbf,DE,15.12,19.0,17.99,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 5.36 EUR not used: regional traffic
osm:n961012947,Riesa,Riesa,DE,34.99,19.0,41.64,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 12.16 EUR not used: regional traffic
osm:n2578699502,Rosenheim,Rosenheim,DE,40.58,19.0,48.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 14.13 EUR not used: regional traffic
osm:n987773654,Rostock Hauptbahnhof,Rostock Hbf,DE,72.34,19.0,86.08,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 25.32 EUR not used: regional traffic
osm:n259449966,Saarbrücken Hauptbahnhof,Saarbrücken Hbf,DE,90.05,19.0,107.16,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 31.28 EUR not used: regional traffic
osm:n27381920,Schweinfurt Hbf,Schweinfurt Hbf,DE,13.92,19.0,16.56,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 4.90 EUR not used: regional traffic
osm:n252098248,Schwerin Hauptbahnhof,Schwerin Hbf,DE,77.39,19.0,92.09,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 27.62 EUR not used: regional traffic
osm:n35879657,Siegburg/Bonn,Siegburg/Bonn,DE,15.45,19.0,18.39,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 5.43 EUR not used: regional traffic
osm:n269763316,Siegen Hauptbahnhof,Siegen Hbf,DE,19.71,19.0,23.45,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 7.42 EUR not used: regional traffic
osm:n277350630,Stralsund Hbf,Stralsund Hbf,DE,77.39,19.0,92.09,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 27.62 EUR not used: regional traffic
osm:n1635698272,Stuttgart Hauptbahnhof,Stuttgart Hbf,DE,71.96,19.0,85.63,per_call,2026,Preisklasse 1,DE-DB-SPL-2026,SPFV share; SPNV share 25.00 EUR not used: regional traffic
osm:n745097775,Trier Hbf,Trier Hbf,DE,53.34,19.0,63.47,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 19.06 EUR not used: regional traffic
osm:n1384282612,Ulm Hauptbahnhof,Ulm Hbf,DE,45.30,19.0,53.91,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 15.82 EUR not used: regional traffic
osm:n3620887012,Wittenberge,Wittenberge,DE,22.45,19.0,26.72,per_call,2026,Preisklasse 3,DE-DB-SPL-2026,SPFV share; SPNV share 7.80 EUR not used: regional traffic
osm:n338899629,Wolfsburg Hauptbahnhof,Wolfsburg Hbf,DE,57.51,19.0,68.44,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 19.48 EUR not used: regional traffic
osm:n27453687,Würzburg Hauptbahnhof,Würzburg Hbf,DE,40.58,19.0,48.29,per_call,2026,Preisklasse 2,DE-DB-SPL-2026,SPFV share; SPNV share 14.13 EUR not used: regional traffic
