route_id,trip_id,leg_sequence,from_stop_id,to_stop_id,countries,scheduled_running_min,routed_driving_min,routed_dynamics_min,routed_model_min,implied_buffer_min,implied_buffer_pct,routed_buffer_min,applied_buffer_pct,routed_distance_km,excluded_reason
39,CS 1001 (A),3,Crewe,Preston,GB,,34,1,35,,,15,42.9,82.1,no_timetable
39,CS 1001 (A),4,Preston,Dundee,GB,335,192,1,193,142,73.6,77,39.9,398.4,
39,CS 1001 (A),5,Dundee,Aberdeen,GB,95,67,1,68,27,39.7,27,39.7,114.6,
40,CS 1001 (FW),1,London Euston,Birmingham International,GB,,68,1,69,,,28,40.6,168.2,no_timetable
40,CS 1001 (FW),2,Birmingham International,Crewe,GB,,43,1,44,,,18,40.9,95.0,no_timetable
40,CS 1001 (FW),3,Crewe,Preston,GB,,34,1,35,,,15,42.9,82.1,no_timetable
40,CS 1001 (FW),4,Preston,Crianlarich,GB,435,221,1,222,213,95.9,88,39.6,401.4,
40,CS 1001 (FW),5,Crianlarich,Fort William / An Gearasdan,GB,135,91,1,92,43,46.7,36,39.1,101.4,
41,CS 1001 (I),1,London Euston,Birmingham International,GB,,68,1,69,,,28,40.6,168.2,no_timetable
41,CS 1001 (I),2,Birmingham International,Crewe,GB,,43,1,44,,,18,40.9,95.0,no_timetable
41,CS 1001 (I),3,Crewe,Preston,GB,,34,1,35,,,15,42.9,82.1,no_timetable
41,CS 1001 (I),4,Preston,Stirling,GB,270,150,1,151,119,78.8,61,40.4,335.0,
41,CS 1001 (I),5,Stirling,Perth / Peairt,GB,43,28,1,29,14,48.3,11,37.9,53.0,
41,CS 1001 (I),6,Perth / Peairt,Aviemore,GB,116,84,1,85,31,36.5,34,40.0,134.8,
41,CS 1001 (I),7,Aviemore,Inverness / Inbhir Nis,GB,66,33,1,34,32,94.1,13,38.2,55.6,
42,GWR Sleeper (London),1,Penzance,Plymouth,GB,,94,1,95,,,38,40.0,127.8,no_timetable
42,GWR Sleeper (London),2,Plymouth,Reading,GB,241,155,1,156,85,54.5,62,39.7,306.3,
